QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Políticas, organização e financiamento da educação brasileira;;;True
10;Educação e trabalho;Identidade e especificidades do trabalho docente;;True
11;Psicologia da Educação;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;;True
12;Didática;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;;True
13;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;Conteúdos e metodologias específicas do ensino;Alfabetização e letramento;True
14;Implementação e avaliação de currículos e programas educacionais;Teorias e práticas de currículo;Didática;False
15;Planejamento e avaliação do ensino e da aprendizagem;Temas transversais;Coordenação e acompanhamento dos processos de ensino e de aprendizagem nos espaços educativos;True
16;Pesquisa educacional;Planejamento, organização e gestão escolar e em outros espaços educativos;Coordenação e acompanhamento dos processos de ensino e de aprendizagem nos espaços educativos;True
17;Filosofia da Educação;História da Educação;Sociologia da Educação;False
18;Psicologia da Educação;Planejamento e avaliação do ensino e da aprendizagem;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;True
19;Planejamento e avaliação do ensino e da aprendizagem;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;;True
20;Educação inclusiva e diversidade;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;Temas transversais;True
21;Conteúdos e metodologias específicas do ensino;Linguagens expressivas na infância;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;True
22;Educação inclusiva e diversidade;Libras;Planejamento e avaliação do ensino e da aprendizagem;True
23;Planejamento, organização e gestão escolar e em outros espaços educativos;Gestão democrática educacional;Políticas e práticas de articulação escola-comunidade e movimentos sociais;True
24;Educação e trabalho;Sociologia da Educação;Filosofia da Educação;True
25;Planejamento, organização e gestão escolar e em outros espaços educativos;Coordenação, elaboração e avaliação de projeto político-pedagógico;Gestão democrática educacional;False
26;Conteúdos e metodologias específicas do ensino;Linguagens expressivas na infância;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;True
27;Didática;Conteúdos e metodologias específicas do ensino;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;True
28;Temas transversais;Educação inclusiva e diversidade;Conteúdos e metodologias específicas do ensino;True
29;Tecnologias da comunicação e informação nas práticas educativas;Planejamento e avaliação do ensino e da aprendizagem;Planejamento, organização e gestão escolar e em outros espaços educativos;True
30;Tecnologias da comunicação e informação nas práticas educativas;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;Coordenação e acompanhamento dos processos de ensino e de aprendizagem nos espaços educativos;False
31;Gestão democrática educacional;Planejamento, organização e gestão escolar e em outros espaços educativos;;True
32;Políticas, organização e financiamento da educação brasileira;Planejamento, organização e gestão escolar e em outros espaços educativos;;True
33;Teorias e práticas de currículo;Implementação e avaliação de currículos e programas educacionais;;False
34;Planejamento, organização e gestão escolar e em outros espaços educativos;Coordenação, elaboração e avaliação de projeto político-pedagógico;;True
35;Educação inclusiva e diversidade;Sociologia da Educação;Temas transversais;True
